ts,open,high,low,close,volume
2024-01-02,17841.0,17920.0,17672.0,17688.0,202459
2024-01-03,17688.0,17724.0,17479.0,17547.0,235161
2024-01-04,17548.0,17610.0,17516.0,17582.0,162554
2024-01-05,17582.0,17625.0,17452.0,17596.0,222500
2024-01-06,17597.0,17606.0,17513.0,17548.0,31409
2024-01-08,17570.0,17705.0,17535.0,17689.0,215257
2024-01-09,17689.0,17782.0,17432.0,17461.0,270592
2024-01-10,17461.0,17555.0,17438.0,17489.0,200555
2024-01-11,17490.0,17605.0,17432.0,17440.0,247201
2024-01-12,17439.0,17570.0,17396.0,17477.0,241420
2024-01-13,17476.0,17501.0,17461.0,17496.0,17078
2024-01-15,17568.0,17656.0,17527.0,17553.0,181811
2024-01-16,17553.0,17575.0,17283.0,17366.0,217295
2024-01-17,17367.0,17369.0,17159.0,17181.0,206226
2024-01-18,17182.0,17466.0,17170.0,17452.0,258569
2024-01-19,17454.0,17758.0,17434.0,17677.0,294623
2024-01-20,17676.0,17777.0,17668.0,17774.0,30660
2024-01-22,17826.0,17843.0,17747.0,17774.0,187282
2024-01-23,17774.0,17918.0,17765.0,17881.0,195090
2024-01-24,17881.0,18057.0,17875.0,18030.0,188800
2024-01-25,18030.0,18089.0,17935.0,18027.0,219335
2024-01-26,18026.0,18060.0,17935.0,18055.0,190000
2024-01-27,18054.0,18061.0,18002.0,18019.0,19832
2024-01-29,18020.0,18153.0,17971.0,18073.0,161400
2024-01-30,18072.0,18145.0,18002.0,18013.0,172889
2024-01-31,18013.0,18044.0,17904.0,17994.0,198743
2024-02-01,17994.0,18046.0,17883.0,17991.0,230219
2024-02-02,17992.0,18105.0,17980.0,18019.0,188542
2024-02-03,18019.0,18064.0,18003.0,18051.0,23290
2024-02-05,18014.0,18102.0,17958.0,18034.0,141117
2024-02-06,18033.0,18107.0,18029.0,18105.0,16869
2024-02-15,18578.0,18727.0,18522.0,18688.0,176007
2024-02-16,18688.0,18725.0,18619.0,18660.0,144213
2024-02-17,18660.0,18679.0,18634.0,18646.0,13675
2024-02-19,18675.0,18692.0,18619.0,18667.0,85839
2024-02-20,18667.0,18817.0,18596.0,18763.0,134138
2024-02-21,18762.0,18767.0,18660.0,18683.0,121198
2024-02-22,18683.0,18976.0,18674.0,18956.0,211666
2024-02-23,18956.0,19004.0,18874.0,18912.0,186794
2024-02-24,18911.0,18935.0,18886.0,18928.0,17493
2024-02-26,18915.0,18995.0,18853.0,18970.0,132726
2024-02-27,18971.0,19019.0,18750.0,18914.0,238307
2024-02-28,18913.0,18919.0,18881.0,18889.0,11529
2024-02-29,18811.0,19000.0,18804.0,18948.0,200173
2024-03-01,18949.0,19052.0,18901.0,19048.0,206105
2024-03-02,19049.0,19175.0,19049.0,19127.0,42272
2024-03-04,19148.0,19437.0,19139.0,19410.0,203394
2024-03-05,19410.0,19436.0,19274.0,19283.0,212212
2024-03-06,19283.0,19667.0,19217.0,19667.0,253697
2024-03-07,19667.0,19895.0,19584.0,19894.0,349773
2024-03-08,19894.0,20009.0,19637.0,19956.0,415285
2024-03-09,19955.0,19957.0,19666.0,19728.0,91692
2024-03-11,19694.0,19824.0,19655.0,19707.0,244407
2024-03-12,19707.0,20004.0,19663.0,19973.0,262579
2024-03-13,19973.0,20064.0,19830.0,19853.0,255125
2024-03-14,19854.0,19978.0,19800.0,19876.0,244740
2024-03-15,19875.0,19887.0,19710.0,19762.0,249632
2024-03-16,19763.0,19786.0,19742.0,19754.0,14072
2024-03-18,19786.0,19964.0,19747.0,19872.0,172334
