open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,open_datetime_utc,close_datetime_utc
1754442000000,113879.69000000,113945.14000000,113588.77000000,113821.21000000,292.50885000,1754445599999,33274561.39558800,87566,116.69872000,13276095.77309370,0,2025-08-06T01:00:00.000Z,2025-08-06T01:59:59.999Z
1754445600000,113820.77000000,113833.88000000,113491.76000000,113623.22000000,206.78627000,1754449199999,23502465.14521120,67295,73.47109000,8350025.63206300,0,2025-08-06T02:00:00.000Z,2025-08-06T02:59:59.999Z
1754449200000,113623.23000000,113658.13000000,113400.00000000,113509.97000000,266.89492000,1754452799999,30299316.97860070,57780,93.30761000,10592447.03314320,0,2025-08-06T03:00:00.000Z,2025-08-06T03:59:59.999Z
1754452800000,113509.98000000,113582.71000000,113355.13000000,113429.21000000,248.98133000,1754456399999,28245350.37348000,48878,87.22857000,9895823.65835920,0,2025-08-06T04:00:00.000Z,2025-08-06T04:59:59.999Z
1754456400000,113429.21000000,114417.02000000,113384.81000000,114148.01000000,602.70557000,1754459999999,68738597.69285740,116662,312.71923000,35671780.37092590,0,2025-08-06T05:00:00.000Z,2025-08-06T05:59:59.999Z
1754460000000,114148.01000000,114200.00000000,113933.23000000,114084.93000000,265.65128000,1754463599999,30297282.37193420,75405,130.55881000,14889803.91558420,0,2025-08-06T06:00:00.000Z,2025-08-06T06:59:59.999Z
1754463600000,114084.92000000,114300.00000000,114019.66000000,114227.91000000,319.69253000,1754467199999,36509189.45392880,61958,187.32668000,21391994.07631530,0,2025-08-06T07:00:00.000Z,2025-08-06T07:59:59.999Z
1754467200000,114227.90000000,114250.00000000,113727.57000000,113948.22000000,382.35629000,1754470799999,43593516.62246240,72348,164.06559000,18705055.54032940,0,2025-08-06T08:00:00.000Z,2025-08-06T08:59:59.999Z
1754470800000,113948.23000000,114368.31000000,113906.96000000,114093.15000000,340.97337000,1754474399999,38906344.86863310,77132,199.10813000,22716267.94160940,0,2025-08-06T09:00:00.000Z,2025-08-06T09:59:59.999Z
1754474400000,114093.15000000,114226.69000000,113899.20000000,114067.20000000,335.97303000,1754477999999,38320986.06071970,63217,185.59824000,21167007.57659270,0,2025-08-06T10:00:00.000Z,2025-08-06T10:59:59.999Z
1754478000000,114067.20000000,114404.23000000,114007.85000000,114226.69000000,220.99495000,1754481599999,25241111.57280670,57106,108.36622000,12375604.31057210,0,2025-08-06T11:00:00.000Z,2025-08-06T11:59:59.999Z
1754481600000,114226.68000000,114333.59000000,113809.02000000,113914.31000000,306.06988000,1754485199999,34926246.17550110,88115,160.56885000,18327135.69437840,0,2025-08-06T12:00:00.000Z,2025-08-06T12:59:59.999Z
1754485200000,113914.31000000,114390.88000000,113579.90000000,114270.09000000,671.19500000,1754488799999,76541641.93988570,180356,343.49628000,39175691.95215900,0,2025-08-06T13:00:00.000Z,2025-08-06T13:59:59.999Z
1754488800000,114270.09000000,115200.00000000,113869.88000000,115187.96000000,1041.66895000,1754492399999,119325685.78429760,225852,638.68703000,73188534.73701050,0,2025-08-06T14:00:00.000Z,2025-08-06T14:59:59.999Z
1754492400000,115187.96000000,115515.09000000,114832.38000000,115413.87000000,1490.74630000,1754495999999,171667739.86994820,210479,823.28477000,94809333.82164530,0,2025-08-06T15:00:00.000Z,2025-08-06T15:59:59.999Z
1754496000000,115413.87000000,115477.06000000,114942.18000000,115132.49000000,642.38859000,1754499599999,74006768.73668390,112257,262.03387000,30186829.65715210,0,2025-08-06T16:00:00.000Z,2025-08-06T16:59:59.999Z
