entry_time,entry,stop,t1,t2,bars,t1_done,last_check,exit_time,exit,reason
2024-01-23 08:55:00,17823.0,17784.423415851412,17880.864876222884,17907.868485126895,6,False,2024-01-23 13:00:00,2024-01-23 15:00:00,17906.0,time_or_ema
2024-01-25 21:08:00,18034.0,18016.985661260966,18059.52150810855,18071.431545225874,0,True,2024-01-25 21:08:00,2024-01-25 21:39:00,18071.431545225874,target
2024-01-26 21:16:00,18035.0,18010.93941912558,18071.09087131163,18087.93327792372,1,False,2024-01-26 22:00:00,2024-01-26 22:54:00,18010.93941912558,stop
2024-01-26 23:22:00,18031.0,17998.556948123587,18079.66457781462,18102.37471412811,2,False,2024-01-27 00:00:00,2024-01-27 01:00:00,18011.0,time_or_ema
2024-01-31 22:10:00,17986.0,17971.668095291312,18007.497857063034,18017.530190359113,4,True,2024-02-01 02:00:00,2024-02-01 02:40:00,17971.668095291312,stop
2024-02-02 10:14:00,18045.0,18027.65865603678,18071.01201594483,18083.150956719084,0,True,2024-02-02 10:14:00,2024-02-02 10:43:00,18083.150956719084,target
2024-02-05 10:10:00,18044.0,18026.779503088655,18069.830745367017,18081.885093204957,0,True,2024-02-05 10:10:00,2024-02-05 10:35:00,18081.885093204957,target
2024-02-19 12:12:00,18669.0,18656.419758093933,18687.870362859103,18696.67653219335,3,True,2024-02-19 16:00:00,2024-02-19 16:22:00,18656.419758093933,stop
2024-02-26 12:12:00,18930.0,18912.010585235526,18956.98412214671,18969.57671248184,0,True,2024-02-26 12:12:00,2024-02-26 12:58:00,18969.57671248184,target
2024-03-08 21:16:00,19879.0,19835.878742976474,19943.68188553529,19973.866765451756,2,True,2024-03-08 23:00:00,2024-03-08 23:06:00,19973.866765451756,target
2024-03-14 08:51:00,19936.0,19883.997633790932,20014.003549313602,20050.40520565995,1,False,2024-03-14 09:00:00,2024-03-14 09:12:00,19883.997633790932,stop
2024-03-14 13:20:00,19910.0,19885.014627913846,19947.47805812923,19964.96781858954,1,True,2024-03-14 15:00:00,2024-03-14 15:01:00,19964.96781858954,target
2024-03-20 08:52:00,19881.0,19836.13993839071,19948.29009241394,19979.69213554044,1,False,2024-03-20 08:52:00,2024-03-20 09:00:00,19831.0,time_or_ema
2024-03-21 02:06:00,19942.0,19872.19627122947,20046.705593155795,20095.568203295166,5,True,2024-03-21 09:00:00,2024-03-21 09:17:00,20095.568203295166,target
2024-03-22 12:15:00,20197.0,20163.339699151376,20247.490451272934,20271.052661866972,6,True,2024-03-22 18:00:00,2024-03-22 19:00:00,20195.0,time_or_ema
2024-03-27 11:27:00,20216.0,20192.769947968358,20250.845078047463,20267.106114469614,1,True,2024-03-27 12:00:00,2024-03-27 12:39:00,20267.106114469614,target
2024-03-28 22:29:00,20205.0,20188.232064048243,20230.151903927635,20241.889459093865,1,True,2024-03-28 23:00:00,2024-03-28 23:16:00,20241.889459093865,target
2024-03-29 08:53:00,20253.0,20211.14073949061,20315.788890764088,20345.09037312066,1,False,2024-03-29 09:00:00,2024-03-29 09:20:00,20211.14073949061,stop
2024-03-29 10:26:00,20267.0,20229.246862111802,20323.629706832297,20350.056903354034,5,True,2024-03-29 16:00:00,2024-03-29 16:58:00,20350.056903354034,target
2024-04-02 09:00:00,20385.0,20344.96402102465,20445.053968463024,20473.07915374577,2,True,2024-04-02 10:00:00,2024-04-02 10:33:00,20473.07915374577,target
2024-04-12 10:06:00,20755.0,20716.371521950194,20812.942717074708,20839.982651709575,5,False,2024-04-12 15:00:00,2024-04-12 16:00:00,20736.0,time_or_ema
2024-05-02 20:11:00,20343.0,20320.57418528442,20376.638722073374,20392.33679237428,1,True,2024-05-02 20:11:00,2024-05-02 21:00:00,20296.0,time_or_ema
2024-05-08 11:13:00,20690.0,20642.91651157902,20760.62523263147,20793.583674526155,6,False,2024-05-08 17:00:00,2024-05-08 18:00:00,20710.0,time_or_ema
2024-05-08 22:22:00,20709.0,20685.058774616606,20744.91183807509,20761.670695843466,1,False,2024-05-08 23:00:00,2024-05-08 23:15:00,20685.058774616606,stop
