time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2026-03-04 01:00:00-05:00,TrendPullback_Lumibot_BTC,,bt_1,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-04 01:00:00-05:00,TrendPullback_Lumibot_BTC,,bt_1,BTC,buy,market,fill,68206.58,1.386698958749647,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-05 01:00:00-05:00,TrendPullback_Lumibot_BTC,,bab1e739078349fc802e12fc7524c878,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-05 01:00:00-05:00,TrendPullback_Lumibot_BTC,,bab1e739078349fc802e12fc7524c878,BTC,sell,market,fill,72412.15,1.386698958749647,1,0.0,0.0,day,,0.0,1,,crypto,
2026-03-05 05:00:00-05:00,TrendPullback_Lumibot_BTC,,bt_2,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-05 05:00:00-05:00,TrendPullback_Lumibot_BTC,,bt_2,BTC,buy,market,fill,72591.59,1.3699652013267303,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-05 10:00:00-05:00,TrendPullback_Lumibot_BTC,,389e57115f2c4a84bf30cd32ff20538c,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-05 10:00:00-05:00,TrendPullback_Lumibot_BTC,,389e57115f2c4a84bf30cd32ff20538c,BTC,sell,market,fill,72609.3,1.3699652013267303,1,0.0,0.0,day,,0.0,1,,crypto,
2026-03-09 20:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_3,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-09 20:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_3,BTC,buy,market,fill,68432.16,1.454122901759871,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-10 14:00:00-04:00,TrendPullback_Lumibot_BTC,,96c138cf8b8c4787885d97c35bef95b5,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-10 14:00:00-04:00,TrendPullback_Lumibot_BTC,,96c138cf8b8c4787885d97c35bef95b5,BTC,sell,market,fill,70868.62,1.454122901759871,1,0.0,0.0,day,,0.0,1,,crypto,
2026-03-12 06:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_4,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-12 06:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_4,BTC,buy,market,fill,69952.51,1.4760114732173455,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-12 09:00:00-04:00,TrendPullback_Lumibot_BTC,,fb3d9d8918f34622a58fa47de0c3416d,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-12 09:00:00-04:00,TrendPullback_Lumibot_BTC,,fb3d9d8918f34622a58fa47de0c3416d,BTC,sell,market,fill,70381.8,1.4760114732173455,1,0.0,0.0,day,,0.0,1,,crypto,
2026-03-12 19:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_5,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-12 19:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_5,BTC,buy,market,fill,70175.64,1.4818408231331075,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-13 13:00:00-04:00,TrendPullback_Lumibot_BTC,,33f33629c4524958a709e3385a810ff3,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-13 13:00:00-04:00,TrendPullback_Lumibot_BTC,,33f33629c4524958a709e3385a810ff3,BTC,sell,market,fill,71885.56,1.4818408231331075,1,0.0,0.0,day,,0.0,1,,crypto,
2026-03-14 22:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_6,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-14 22:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_6,BTC,buy,market,fill,70985.84,1.4966743441621717,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-15 14:00:00-04:00,TrendPullback_Lumibot_BTC,,ab0a79c0dc4e4f8fb8d6873a210fa5f9,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-15 14:00:00-04:00,TrendPullback_Lumibot_BTC,,ab0a79c0dc4e4f8fb8d6873a210fa5f9,BTC,sell,market,fill,71819.96,1.4966743441621717,1,0.0,0.0,day,,0.0,1,,crypto,
2026-03-15 18:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_7,BTC,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2026-03-15 18:00:00-04:00,TrendPullback_Lumibot_BTC,,bt_7,BTC,buy,market,fill,72109.59,1.4862542011532254,1,0.0,0.0,gtc,,0.0,1,,crypto,
2026-03-16 18:00:00-04:00,TrendPullback_Lumibot_BTC,,b25b72d3ccb1465d8357c8969aeba092,BTC,sell,market,new,,,1,,0.0,day,,0.0,1,,crypto,
2026-03-16 18:00:00-04:00,TrendPullback_Lumibot_BTC,,b25b72d3ccb1465d8357c8969aeba092,BTC,sell,market,fill,74401.35,1.4862542011532254,1,0.0,0.0,day,,0.0,1,,crypto,
