time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2026-03-04 01:00:00-05:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-04 01:00:00-05:00,buy,fill,1.386698958749647,BTC,crypto,,0.0,,68206.58,market,1,0.0,0.0
2026-03-05 01:00:00-05:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-05 01:00:00-05:00,sell,fill,1.386698958749647,BTC,crypto,,0.0,,72412.15,market,1,0.0,0.0
2026-03-05 05:00:00-05:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-05 05:00:00-05:00,buy,fill,1.3699652013267303,BTC,crypto,,0.0,,72591.59,market,1,0.0,0.0
2026-03-05 10:00:00-05:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-05 10:00:00-05:00,sell,fill,1.3699652013267303,BTC,crypto,,0.0,,72609.3,market,1,0.0,0.0
2026-03-09 20:00:00-04:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-09 20:00:00-04:00,buy,fill,1.454122901759871,BTC,crypto,,0.0,,68432.16,market,1,0.0,0.0
2026-03-10 14:00:00-04:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-10 14:00:00-04:00,sell,fill,1.454122901759871,BTC,crypto,,0.0,,70868.62,market,1,0.0,0.0
2026-03-12 06:00:00-04:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-12 06:00:00-04:00,buy,fill,1.4760114732173455,BTC,crypto,,0.0,,69952.51,market,1,0.0,0.0
2026-03-12 09:00:00-04:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-12 09:00:00-04:00,sell,fill,1.4760114732173455,BTC,crypto,,0.0,,70381.8,market,1,0.0,0.0
2026-03-12 19:00:00-04:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-12 19:00:00-04:00,buy,fill,1.4818408231331075,BTC,crypto,,0.0,,70175.64,market,1,0.0,0.0
2026-03-13 13:00:00-04:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-13 13:00:00-04:00,sell,fill,1.4818408231331075,BTC,crypto,,0.0,,71885.56,market,1,0.0,0.0
2026-03-14 22:00:00-04:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-14 22:00:00-04:00,buy,fill,1.4966743441621717,BTC,crypto,,0.0,,70985.84,market,1,0.0,0.0
2026-03-15 14:00:00-04:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-15 14:00:00-04:00,sell,fill,1.4966743441621717,BTC,crypto,,0.0,,71819.96,market,1,0.0,0.0
2026-03-15 18:00:00-04:00,buy,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-15 18:00:00-04:00,buy,fill,1.4862542011532254,BTC,crypto,,0.0,,72109.59,market,1,0.0,0.0
2026-03-16 18:00:00-04:00,sell,new,,BTC,crypto,,0.0,,,market,1,,0.0
2026-03-16 18:00:00-04:00,sell,fill,1.4862542011532254,BTC,crypto,,0.0,,74401.35,market,1,0.0,0.0
